"Bacteria;Firmicutes"	"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Chloroflexi"	"Bacteria;Cyanobacteria"
"16S-A-C12-L0_e0049-5-0-A-C12"	9933	0	0	0	0	0	0	0
"16S-A-C12-L1_e0049-8-1-A-C12"	1	0	0	0	0	0	0	0
"16S-A-C12-L2_e0050-A-5-2-A-C12"	3531	2627	7076	177	33	0	0	0
"16S-A-C12-L3_e0050-B-5-3-A-C12"	14475	0	0	0	0	0	0	0
"16S-A-C12-L4_e0049-3-4-A-C12"	9779	0	0	0	0	0	0	0
"16S-A-C12-L5_e0050-A-3-5-A-C12"	2210	2393	5215	232	11	0	0	0
"16S-A-C12-L6_e0050-B-3-6-A-C12"	7338	0	0	0	0	0	0	0
"16S-A-C12-L7_e0050-8-7-A-C12"	3126	2523	3529	195	14	0	0	0
"16S-A-C2-L0_e0049-5-0-A-C2"	11709	0	0	0	0	0	0	0
"16S-A-C2-L1_e0049-8-1-A-C2"	11702	0	0	0	0	0	0	0
"16S-A-C2-L2_e0050-A-5-2-A-C2"	4931	7150	7860	273	32	0	0	0
"16S-A-C2-L3_e0050-B-5-3-A-C2"	5056	3792	8403	0	20	3	0	0
"16S-A-C2-L4_e0049-3-4-A-C2"	9093	0	0	0	0	0	0	0
"16S-A-C2-L5_e0050-A-3-5-A-C2"	5114	3924	7084	430	29	0	0	0
"16S-A-C2-L6_e0050-B-3-6-A-C2"	4514	3122	4704	0	61	8	0	0
"16S-A-C2-L7_e0050-8-7-A-C2"	2650	2742	3083	309	14	0	0	0
"16S-A-C3-L0_e0049-5-0-A-C3"	11753	0	0	0	0	0	0	0
"16S-A-C3-L1_e0049-8-1-A-C3"	12635	0	0	0	0	0	0	0
"16S-A-C3-L2_e0050-A-5-2-A-C3"	6338	5403	13200	18	49	2	0	0
"16S-A-C3-L3_e0050-B-5-3-A-C3"	7357	4660	7147	16	71	11	0	0
"16S-A-C3-L4_e0049-3-4-A-C3"	7583	0	0	0	0	0	0	0
"16S-A-C3-L5_e0050-A-3-5-A-C3"	3326	2832	5388	271	21	0	0	0
"16S-A-C3-L6_e0050-B-3-6-A-C3"	3556	2431	3632	15	44	14	0	0
"16S-A-C3-L7_e0050-8-7-A-C3"	2207	2393	4456	7	8	0	0	0
"16S-A-C4-L0_e0049-5-0-A-C4"	49	0	0	0	0	0	0	0
"16S-A-C4-L1_e0049-8-1-A-C4"	415	4	0	0	0	0	0	0
"16S-A-C4-L2_e0050-A-5-2-A-C4"	74	27	0	0	0	0	0	0
"16S-A-C4-L3_e0050-B-5-3-A-C4"	52	0	0	0	0	0	0	0
"16S-A-C4-L4_e0049-3-4-A-C4"	83	3	0	0	0	0	0	0
"16S-A-C4-L5_e0050-A-3-5-A-C4"	4225	3441	9249	325	32	2	0	0
"16S-A-C4-L6_e0050-B-3-6-A-C4"	257	10	4	0	0	0	0	0
"16S-A-C5-L0_e0049-5-0-A-C5"	12650	0	0	0	0	0	0	0
"16S-A-C5-L1_e0049-8-1-A-C5"	8074	0	0	0	0	0	0	0
"16S-A-C5-L2_e0050-A-5-2-A-C5"	6539	5820	9361	525	63	0	0	0
"16S-A-C5-L3_e0050-B-5-3-A-C5"	8591	7216	9267	625	82	0	0	0
"16S-A-C5-L4_e0049-3-4-A-C5"	7342	0	0	0	0	0	0	0
"16S-A-C5-L5_e0050-A-3-5-A-C5"	3436	2944	5274	486	30	0	0	0
"16S-A-C5-L6_e0050-B-3-6-A-C5"	2835	2087	3620	348	29	0	0	0
"16S-A-C5-L7_e0050-8-7-A-C5"	2527	3594	5222	173	10	0	0	0
"16S-A-C6-L0_e0049-5-0-A-C6"	7638	0	0	0	0	0	0	0
"16S-A-C6-L1_e0049-8-1-A-C6"	5484	0	0	0	0	0	0	0
"16S-A-C6-L2_e0050-A-5-2-A-C6"	4082	3035	6261	259	32	0	0	0
"16S-A-C6-L3_e0050-B-5-3-A-C6"	3167	3098	5404	34	19	0	0	0
"16S-A-C6-L4_e0049-3-4-A-C6"	19	0	0	0	0	0	0	0
"16S-A-C6-L5_e0050-A-3-5-A-C6"	2518	2017	3663	232	12	0	0	0
"16S-A-C6-L6_e0050-B-3-6-A-C6"	7	6	6	0	0	0	0	0
"16S-A-C6-L7_e0050-8-7-A-C6"	2870	1789	4399	63	12	0	0	0
"16S-A-C7-L0_e0049-5-0-A-C7"	8492	0	0	0	0	0	0	0
"16S-A-C7-L1_e0049-8-1-A-C7"	6146	0	0	0	0	0	0	0
"16S-A-C7-L2_e0050-A-5-2-A-C7"	4970	3987	10702	139	55	0	0	0
"16S-A-C7-L3_e0050-B-5-3-A-C7"	6374	5191	7913	318	55	0	0	0
"16S-A-C7-L4_e0049-3-4-A-C7"	7366	0	0	0	0	0	0	0
"16S-A-C7-L5_e0050-A-3-5-A-C7"	1836	1581	3409	119	16	0	0	0
"16S-A-C7-L6_e0050-B-3-6-A-C7"	2448	2208	3144	240	34	0	0	0
"16S-A-C7-L7_e0050-8-7-A-C7"	3473	2659	6708	175	24	0	0	0
"16S-A-C8-L0_e0049-5-0-A-C8"	31	0	0	0	0	0	0	0
"16S-A-C8-L2_e0050-A-5-2-A-C8"	0	0	0	0	0	0	0	1
"16S-A-C8-L4_e0049-3-4-A-C8"	9	0	0	0	0	0	0	0
"16S-A-C8-L5_e0050-A-3-5-A-C8"	8	0	0	0	0	0	0	0
"16S-A-C8-L6_e0050-B-3-6-A-C8"	27	2	0	0	0	0	0	0
"16S-A-C9-L0_e0049-5-0-A-C9"	9715	0	0	0	0	0	0	0
"16S-A-C9-L1_e0049-8-1-A-C9"	4175	0	0	0	0	0	0	0
"16S-A-C9-L2_e0050-A-5-2-A-C9"	21	3	0	0	0	0	0	0
"16S-A-C9-L3_e0050-B-5-3-A-C9"	31	0	0	0	0	0	0	0
"16S-A-C9-L4_e0049-3-4-A-C9"	7906	0	0	0	0	0	0	0
"16S-A-C9-L5_e0050-A-3-5-A-C9"	37	5	0	0	0	0	0	0
"16S-A-C9-L6_e0050-B-3-6-A-C9"	77	2	0	0	0	0	0	0
"16S-A-D1-L0_e0049-5-0-A-D1"	7745	0	0	0	0	0	0	0
"16S-A-D1-L1_e0049-8-1-A-D1"	5268	0	0	0	0	0	0	0
"16S-A-D1-L2_e0050-A-5-2-A-D1"	3839	3191	8151	557	29	0	0	0
"16S-A-D1-L3_e0050-B-5-3-A-D1"	5121	2875	4338	2	35	10	0	0
"16S-A-D1-L4_e0049-3-4-A-D1"	4365	0	0	0	0	0	0	0
"16S-A-D1-L5_e0050-A-3-5-A-D1"	2677	2309	5654	499	11	0	0	0
"16S-A-D1-L6_e0050-B-3-6-A-D1"	3030	2808	4636	18	42	0	0	0
"16S-A-D1-L7_e0050-8-7-A-D1"	1539	2169	5713	3	8	0	0	0
"16S-A-D10-L0_e0049-5-0-A-D10"	11380	0	0	0	0	0	0	0
"16S-A-D10-L1_e0049-8-1-A-D10"	6244	0	0	0	0	0	0	0
"16S-A-D10-L2_e0050-A-5-2-A-D10"	3741	3144	7919	351	19	0	0	0
"16S-A-D10-L3_e0050-B-5-3-A-D10"	22279	0	0	0	0	0	0	0
"16S-A-D10-L4_e0049-3-4-A-D10"	7501	0	0	0	0	0	0	0
"16S-A-D10-L5_e0050-A-3-5-A-D10"	2173	1511	2458	69	0	3	0	0
"16S-A-D10-L6_e0050-B-3-6-A-D10"	7026	0	0	0	0	0	0	0
"16S-A-D10-L7_e0050-8-7-A-D10"	2253	1966	3285	128	14	0	0	0
"16S-A-D11-L0_e0049-5-0-A-D11"	12268	0	0	0	0	0	0	0
"16S-A-D11-L1_e0049-8-1-A-D11"	8492	0	0	0	0	0	0	0
"16S-A-D11-L2_e0050-A-5-2-A-D11"	5518	6432	9732	176	60	0	0	0
"16S-A-D11-L3_e0050-B-5-3-A-D11"	22647	0	0	0	0	0	0	0
"16S-A-D11-L4_e0049-3-4-A-D11"	8314	0	0	0	0	0	0	0
"16S-A-D11-L5_e0050-A-3-5-A-D11"	2689	2765	3645	198	14	0	0	0
"16S-A-D11-L6_e0050-B-3-6-A-D11"	11049	0	0	0	0	0	0	0
"16S-A-D11-L7_e0050-8-7-A-D11"	3765	3034	6337	441	14	0	0	0
"16S-A-D12-L0_e0049-5-0-A-D12"	15448	0	0	0	0	0	0	0
"16S-A-D12-L1_e0049-8-1-A-D12"	6863	0	0	0	0	0	0	0
"16S-A-D12-L2_e0050-A-5-2-A-D12"	5005	4265	7773	55	24	0	0	0
"16S-A-D12-L3_e0050-B-5-3-A-D12"	15987	0	0	0	0	0	0	0
"16S-A-D12-L4_e0049-3-4-A-D12"	11322	0	0	0	0	0	0	0
"16S-A-D12-L5_e0050-A-3-5-A-D12"	2693	2181	3825	90	4	0	0	0
"16S-A-D12-L6_e0050-B-3-6-A-D12"	7865	0	0	0	0	0	0	0
"16S-A-D12-L7_e0050-8-7-A-D12"	3405	2449	4313	127	24	0	0	0
"16S-A-D2-L0_e0049-5-0-A-D2"	12387	0	0	0	0	0	0	0
"16S-A-D2-L1_e0049-8-1-A-D2"	11458	0	0	0	0	0	0	0
