"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-D7-L2_e0017-2-C-D7"	13074	30397	43102	174	211	0	0	0	0
"16S-C-D7-L3_e0017-3-C-D7"	44957	42800	62992	246	68	0	0	0	0
"16S-C-D8-L0_e0017-0-C-D8"	26025	71806	52968	107	330	0	0	0	0
"16S-C-D8-L1_e0017-1-C-D8"	38192	41676	43191	147	24	0	0	0	0
"16S-C-D8-L2_e0017-2-C-D8"	10352	27691	28199	78	123	0	0	0	0
"16S-C-D8-L3_e0017-3-C-D8"	41046	47223	54186	211	19	0	0	0	0
"16S-C-D9-L0_e0017-0-C-D9"	30805	51229	42085	135	216	0	0	0	0
"16S-C-D9-L1_e0017-1-C-D9"	36854	42872	40493	168	64	0	0	0	0
"16S-C-D9-L2_e0017-2-C-D9"	16967	28572	35447	166	140	0	0	0	0
"16S-C-D9-L3_e0017-3-C-D9"	46706	42156	54124	255	108	4	0	0	0
"16S-C-E1-L0_e0017-0-C-E1"	23814	55018	77091	108	121	0	0	0	0
"16S-C-E1-L1_e0017-1-C-E1"	35069	47538	56868	160	59	0	0	0	0
"16S-C-E1-L2_e0017-2-C-E1"	22132	33053	32013	57	33	0	0	0	0
"16S-C-E1-L3_e0017-3-C-E1"	29872	36368	53885	74	8	0	0	0	0
"16S-C-E10-L0_e0017-0-C-E10"	31523	48421	67614	214	85	0	0	0	0
"16S-C-E10-L1_e0017-1-C-E10"	34137	48921	58947	116	161	0	0	0	0
"16S-C-E10-L2_e0017-2-C-E10"	21029	33097	41507	98	79	0	0	0	0
"16S-C-E10-L3_e0017-3-C-E10"	29468	47823	62678	86	92	0	0	0	0
"16S-C-E11-L0_e0017-0-C-E11"	30113	46641	71584	258	76	0	0	0	0
"16S-C-E11-L1_e0017-1-C-E11"	32374	42529	61016	9	103	0	0	0	0
"16S-C-E11-L2_e0017-2-C-E11"	25989	29445	36049	102	32	0	0	0	0
"16S-C-E11-L3_e0017-3-C-E11"	35102	36240	47464	0	75	0	0	0	0
"16S-C-E12-L0_e0017-0-C-E12"	37252	59302	58953	243	315	0	0	0	0
"16S-C-E12-L1_e0017-1-C-E12"	43124	47231	72235	0	59	0	0	0	0
"16S-C-E12-L2_e0017-2-C-E12"	20597	35701	41917	117	206	0	0	0	0
"16S-C-E12-L3_e0017-3-C-E12"	28158	42085	48370	0	64	0	0	0	0
"16S-C-E2-L0_e0017-0-C-E2"	20426	27760	27837	113	198	0	0	0	0
"16S-C-E2-L1_e0017-1-C-E2"	23844	29437	39427	148	46	0	0	0	0
"16S-C-E2-L2_e0017-2-C-E2"	14565	16778	24931	63	109	0	0	0	0
"16S-C-E2-L3_e0017-3-C-E2"	19868	27624	38767	119	27	0	0	0	0
"16S-C-E3-L0_e0017-0-C-E3"	15335	29686	34957	48	39	0	0	0	0
"16S-C-E3-L1_e0017-1-C-E3"	42466	53199	60508	184	89	0	0	0	0
"16S-C-E3-L2_e0017-2-C-E3"	17675	28995	41975	103	19	0	0	0	0
"16S-C-E3-L3_e0017-3-C-E3"	39533	36633	54654	141	33	0	0	0	0
"16S-C-E4-L0_e0017-0-C-E4"	24172	44769	55023	90	75	0	0	0	0
"16S-C-E4-L1_e0017-1-C-E4"	44682	51774	55626	231	106	0	0	0	0
"16S-C-E4-L2_e0017-2-C-E4"	13222	22253	33176	93	14	0	0	0	0
"16S-C-E4-L3_e0017-3-C-E4"	35760	35409	43339	149	40	0	0	0	0
"16S-C-E5-L0_e0017-0-C-E5"	25589	54349	53256	83	56	0	0	0	0
"16S-C-E5-L1_e0017-1-C-E5"	29324	39469	48513	133	90	0	0	0	0
"16S-C-E5-L2_e0017-2-C-E5"	15709	32240	44484	90	26	0	0	0	0
"16S-C-E5-L3_e0017-3-C-E5"	22931	28550	34095	120	27	0	0	0	0
"16S-C-E6-L0_e0017-0-C-E6"	22839	45636	55326	115	51	0	0	0	0
"16S-C-E6-L1_e0017-1-C-E6"	35516	56784	68689	103	172	0	0	0	0
"16S-C-E6-L2_e0017-2-C-E6"	15766	31280	44141	99	18	0	0	0	0
"16S-C-E6-L3_e0017-3-C-E6"	25290	36100	44522	176	42	0	0	0	0
"16S-C-E7-L0_e0017-0-C-E7"	25822	60736	67471	92	63	0	0	0	0
"16S-C-E7-L1_e0017-1-C-E7"	30603	34781	51946	153	63	0	0	0	0
"16S-C-E7-L2_e0017-2-C-E7"	17295	27360	34010	86	22	0	0	0	0
"16S-C-E7-L3_e0017-3-C-E7"	27518	41151	51414	147	54	0	0	0	0
"16S-C-E8-L0_e0017-0-C-E8"	33874	50489	59807	71	97	0	0	0	0
"16S-C-E8-L1_e0017-1-C-E8"	20875	27897	39717	63	55	0	0	0	0
"16S-C-E8-L2_e0017-2-C-E8"	10081	19226	30540	62	40	0	0	0	0
"16S-C-E8-L3_e0017-3-C-E8"	18839	27737	35847	54	25	0	0	0	0
"16S-C-E9-L0_e0017-0-C-E9"	34186	52837	63031	174	92	0	0	0	0
"16S-C-E9-L1_e0017-1-C-E9"	25575	37747	47112	122	107	0	0	0	0
"16S-C-E9-L2_e0017-2-C-E9"	19872	27309	42309	87	48	0	0	0	0
"16S-C-E9-L3_e0017-3-C-E9"	33449	48662	61198	182	134	0	0	0	0
"16S-C-F1-L0_e0017-0-C-F1"	33006	57967	49148	98	72	0	0	0	0
"16S-C-F1-L1_e0017-1-C-F1"	33661	49264	53505	107	113	0	0	0	0
"16S-C-F1-L2_e0017-2-C-F1"	18426	24929	30769	62	125	0	0	0	0
"16S-C-F1-L3_e0017-3-C-F1"	26664	47213	60473	69	47	0	0	0	0
"16S-C-F10-L0_e0017-0-C-F10"	44025	66874	73527	201	211	0	0	0	0
"16S-C-F10-L1_e0017-1-C-F10"	38697	62776	66855	149	432	0	0	0	0
"16S-C-F10-L2_e0017-2-C-F10"	25022	40773	51430	144	301	0	0	0	0
