"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-C-D7-L1_e0017-1-C-D7"	53730	53769	23977	27529	2615	206	25	0	0	0	0	0	0	0	0
"16S-C-D7-L2_e0017-2-C-D7"	13074	30397	35327	7305	470	174	202	9	0	0	0	0	0	0	0
"16S-C-D7-L3_e0017-3-C-D7"	44957	42800	18221	43202	1569	246	68	0	0	0	0	0	0	0	0
"16S-C-D8-L0_e0017-0-C-D8"	26025	71806	34341	17236	1391	107	323	7	0	0	0	0	0	0	0
"16S-C-D8-L1_e0017-1-C-D8"	38192	41676	16186	24981	2024	147	24	0	0	0	0	0	0	0	0
"16S-C-D8-L2_e0017-2-C-D8"	10352	27691	18984	8653	562	78	116	7	0	0	0	0	0	0	0
"16S-C-D8-L3_e0017-3-C-D8"	41046	47223	13732	38961	1493	211	19	0	0	0	0	0	0	0	0
"16S-C-D9-L0_e0017-0-C-D9"	30805	51229	24172	16843	1070	135	216	0	0	0	0	0	0	0	0
"16S-C-D9-L1_e0017-1-C-D9"	36854	42872	14985	23560	1948	168	64	0	0	0	0	0	0	0	0
"16S-C-D9-L2_e0017-2-C-D9"	16967	28572	14485	20275	687	166	140	0	0	0	0	0	0	0	0
"16S-C-D9-L3_e0017-3-C-D9"	46706	42156	16068	37261	795	255	108	0	4	0	0	0	0	0	0
"16S-C-E1-L0_e0017-0-C-E1"	23814	55018	46129	29413	1549	108	83	38	0	0	0	0	0	0	0
"16S-C-E1-L1_e0017-1-C-E1"	35069	47538	37254	18248	1366	160	45	14	0	0	0	0	0	0	0
"16S-C-E1-L2_e0017-2-C-E1"	22132	33053	18756	12463	794	57	33	0	0	0	0	0	0	0	0
"16S-C-E1-L3_e0017-3-C-E1"	29872	36368	32364	20489	1032	74	8	0	0	0	0	0	0	0	0
"16S-C-E10-L0_e0017-0-C-E10"	31523	48421	40838	25541	1235	214	38	47	0	0	0	0	0	0	0
"16S-C-E10-L1_e0017-1-C-E10"	34137	48921	42761	14339	1847	116	106	55	0	0	0	0	0	0	0
"16S-C-E10-L2_e0017-2-C-E10"	21029	33097	24303	16419	785	98	64	15	0	0	0	0	0	0	0
"16S-C-E10-L3_e0017-3-C-E10"	29468	47823	40481	21381	816	86	92	0	0	0	0	0	0	0	0
"16S-C-E11-L0_e0017-0-C-E11"	30113	46641	36465	34137	982	258	27	49	0	0	0	0	0	0	0
"16S-C-E11-L1_e0017-1-C-E11"	32374	42529	39352	19859	1805	9	63	40	0	0	0	0	0	0	0
"16S-C-E11-L2_e0017-2-C-E11"	25989	29445	19722	15724	603	102	25	7	0	0	0	0	0	0	0
"16S-C-E11-L3_e0017-3-C-E11"	35102	36240	28968	17673	823	0	75	0	0	0	0	0	0	0	0
"16S-C-E12-L0_e0017-0-C-E12"	37252	59302	35501	22078	1374	243	315	0	0	0	0	0	0	0	0
"16S-C-E12-L1_e0017-1-C-E12"	43124	47231	45513	24614	2108	0	38	21	0	0	0	0	0	0	0
